Student,Response,Analysis,Explanation,Critique,Advance Claim
C 268,"Over the last ten years Charleston has grown. It has built homes, schools, and jobs around the community. However, recently the townês people of Charleston have noticed that there is a flooding problem every time it rains. This has never been a major problem until the year 2005. But now the floods have increased and citizens are concerned. They invited a local meteorologist that has presented an argument to the class. The argument is; –The cause of Charlestonês flooding problem is the increased precipitation.” However, I claim that Charlestonês flooding problems are due to the increase in developed land areas with impermeable surfaces. The local meteorologist has said that –rain and snowfall in the area have increased steadily since about 2005.” Yes thatês true, but the increase of precipitation would not affect the flooding problem without another obstacle getting in the way. You see precipitation is just H2O mixed with other chemicals that come from the clouds. If precipitation is water it should and would most likely soak into the soil on the ground. Therefore, the increased amount of precipitation is inaccurate because the snow and rain would evaporate or soak up into the soil. My claim states that Charlestonês flooding problems are due to the increase in developed land areas with impermeable surfaces. Impermeable surfaces are surfaces made by humans, such as sidewalks or buildings which do not allow water to go through. According to the graphs there has been a huge amount of impermeable surfaces created since 1963.This is that main reason for Charlestonês flooding problem. ",4,4,4,4
C 269,"The meteorologistês statement is inaccurate because he stated that the flooding occurred in 2005 and thatês false because in the earlier statement it said that it has been a problem that hasnêt been noticed until 2005. The graphs even claim that thereês been flooding starting about in 1963 according to the graphs. He also stated that it is because of the rise of precipitation in the area that is also inaccurate the earlier statement claimed that the land used for testing was man made with materials that did not allow water to go through or anything in that sort such as sidewalks, buildings, and even roads. The evidence that his statement is inaccurate is in the graphs the first graph which is for the precipitation patterns in Charleston, shows precipitation dating back to 1963. On the graph starting at that time precipitation was at a 51 and slowly rising then about 1973 started to decrease and then was up and down until about 2004 or 2005. Then 2013 it was at a 60 and rising so the flooding problem was still a problem in the mid 60s to early 70s but wasnêt that big of a problem. The other chart that is for the changes in the area of Charleston the data dates back to only 1973 and in the natural areas in all the years have the highest precipitation the developed impermeable surfaces are the second highest percentage it seems that the natural places was better because with the more man made areas the more it would flood do to poor drainage systems so the thing that the city of Charleston should do is make a new or better drainage system and the percentage of flooding will decrease a lot.",2,1,0,0
C 270,"For all I know about the Charleston flooding problem, by reading the article all of the students have more of a clear answer about the flood then the local meteorologists. The local Meteorologists argument was invalid because studies say that the flood was caused by increased precipitation, which is what he thought was true but it didnêt become a problem till the year of 2005. When the students made data charts, they had a meteorologists look at each data charts from all the students. The meteorologists argument was that the flood was caused by increased precipitation but the students said it was caused by increases in developed land areas with impermeable surfaces, which was the true answer to the Charleston flood. So the students data charts were accurate to the cause of the Charleston flood, that flood was one of the worst floods in the history of floods, no doubt about it. I believe that the students answers were more true then the meteorologists. I may not know much about it but by reading the article the charts show proof that the increased development on land was the real cause of the flood.",,,,
C 271,"The Charlestonês flooding problems are due to the large amount of rainfall. From 2005 there has been a large increase of rainfall and flooding that has been accruing. This is an inaccurate statement because the change in land area in Charleston is what makes a difference.  It depends on the different surfaces. The more space there is the more difficult it will be to flood, the less land you have the easier it will be to flood the land. So it does not matter the rainfall it matters how much area of land you have. The scientist theory is inaccurate because the amount of rainfall has no effect on the land it matters the area of land and the type of land and soil that is getting rainfall and flooding.",,,,
C 272,"Charlestonês flooding problems are due to the increases in developed land areas with impermeable surfaces because they have more Nature Areas then they do of Developed-Permeable Surfaces. The rain and snow fall as really increased since about 2005, and that isnêt that normal for Charlestonês town. The town is worried about what could happen if this keeps going on in their town. The graph shows that they have more Natural Areas then it does in Developed-Permeable Surfaces. That which shows that the rain and snow fall would drip down off of those things and could start a flood. The land that they categories where Impermeable Surfaces, Developed-Permeable Surfaces and Natural Areas. Those areas have to be what humans have hand-made with materials. The measures of the precipitation that indicates how much of the rain and the snow that the city will receives in their town. The water or the rain or snowfall canêt go through any of the buildings that they made from hand-made. The water or the rain or snow fall can go through for example a soccer field. The precipitation has jumped way high starting in 2013.",,,,
C 273,The Charleston middle school has been collecting data or the flooding from the past years in the town of Charleston. They have collected data from the last past 50 years of precipitation like rain and snow that the city receives. The meteorologist is wrong because in the graphing the precipitation did not increase it decreased why I say that is on the graph from 1993-2003 the average precipitation of rain decreased. Another reason he is wrong is on the graph you can see where they have more precipitation in certain years and less in some years. Thatês why the meteorologist is wrong. The things that I have for evidence proves the claim is right. I say this because the townês people do need to build more impermeable things so when they do have a lot of precipitation they wonêt have to worry about it going through houses and a lot of other things. They are flooding because they need to build something for the water to go because itês just going to sit there cause the town to flood more and more.,2,1,2,0
C 274,"Charlestonês flooding problems are due to the increases in developed land areas with impermeable surfaces.  The data proves this. Because 1973 the percentage of impermeable land was 13%.  In 1983, the increase of impermeable land was at 15%. In 1993 the percentage was 18%. In 2003 the percentage was 21%, and in 2013 the percentage was 36%. The local meteorologistês claims were inaccurate.  They claim that it was due to the lack of precipitation. But its not, in 1963 average amount of precipitation was 50 inches. In 1973 it was 58 inches, in 1983 it was 35 inches, in 1993 it was 42 inches, in 2003 it was 35 inches, and in 2013 it was a total average of 60 whole inches. Charlestonês theory was correct.",,,,
C 275,Hello my name is Brandon Iêm looking at your paper for a school assailment. I have some question for you I thank you are wrong the resin of the flooding is because of the rods and the biddings and other thangs are the reason that everything is flooding.  I have a solution to the reason of the flooding is the water has no place to go. The final thang is have more open grass areas.     ,,,,
C 276,"The increased precipitation is not the main factor causing the flooding. The main reason that there is flooding in this area is caused by Developed-Impermeable Surfaces. With more and more areas not being able to soak up water, the water is just becoming run-off. More than half of the percentage of the town is impermeable. In the 10 year span of 1963-1973 the rain in inches was close to that of the rain in inches in 2013. Flooding was not a problem back in that decade, making the rain not a big issue in the flooding factor. With all the natural land back then (87%) , and very little impermeable surfaces (13%) , the rain was easily soaked up. That concluded, there was very little run-off leading to no flooding. The meteorologist was therefore inaccurate in his claim that the flooding was due to precipitation. Not only does the data show that there are less permeable surfaces to soak up the water, the data from recent years show high amounts of rainfall (60 in) , with no flooding. ",4,4,4,4
C 277,"–The city of Charleston was founded in the early 1900ês, but it has grown a lot over the last 10 years” states Charlestonês Flooding Problem.  Charlestonês flooding problems are due to the increase in developed land areas with impermeable surfaces. On the other hand the local meteorologists believe that the cause of Charlestonês flooding problem is because of the huge increase in precipitation. However they are incorrect because of things like impermeable and permeable surfaces. The claim of the meteorologistês is inaccurate; Charleston did not flood because of precipitation.  In graph one it shows the precipitation patterns in Charleston.  Between 1963 and 1973 there was an increase in precipitation and it had almost as much precipitation as 2013. Therefore why didnêt it flood between 1963 and 1973 because when it started flooding in 2005 there was less than 40 inches of precipitation but between 1963 and 1973 it was above 50 inches of precipitation? Also in graph 2 it shows the changes in land area coverage in Charleston and it also proves that they are inaccurate.  In 1973 there was the largest percent of precipitation in natural area but then it decreases every year shown on the graph. Permeable surfaces allow water go through them but yet over the years the precipitation in those areas barely increase. Therefore the evidence in the graph shows that they are incorrect. The meteorologists claim that the flooding problem is because of the huge amount of precipitation since 2005, the year the flooding stared and it has flooded ever since then.  On graph one it shows that ever since 2003 the annual average of precipitation has gradually increased; therefore about 2005 the precipitationês slope got even steeper. Also in graph 2 it shows different land coverage in Charleston and the permeable surfaces (the areas that let water go through) have increased in precipitation and the hugest increase was from 2003 to 2013 therefore this shows that the meteorologist claim is correct. ",,,,
C 278,A lot of things can be the cause of the floods. The meteorologist statement is not correct because the increased precipitation is not what has been happening to be quite truth full the rain falls has been pretty steady. So I do not think that the precipitation is the reason it is happening but there has been more rain fall in 2013 than in the last ten years. But that shouldnêt mean that there is more floods because itês not just from the rain. The meteorologist are kind of right but they did not think of all the possible reasons of the flooding. All the rain might have a little to do with but not for real. Like they said in the article it might be from all the new editions added to the town and the water cannot flow like it wants to because of all the water that stops it. But it can flow the right way in grass and in the forest but when there is all of these buildings the water cannot do what it wants so it is pushed to compact with the rest of the water and then floods. So the metoligist is wrong and incorrect,,,,
C 279,"The city of Charleston has had a problem of flooding since 2005.  They have built on new roads that have been mire in depth of like a valley. The lower the above ground is the more the land is dryer and it absorbs. In the text the evidence states that –It has also expanded existing roads and built more sidewalks and parking lots.” This states that the way they have expanded Charleston is by going down deeper like into valleys and thatês why main roads have been flooding and sidewalks have been flooding around Charleston. It also makes it harder on people driving because driving in flooded water is not very smart your car can get caught into the stream, your car can get flooded, and also you can have bad accidents that can cause death. The meteorologistês data is in correct because they have not been recording data in the places built in 2005. The data they all have recorded was in the places that have been built a while not places that have been built in 2005. ",,,,
C 280,"The Charleston flooding problems are not because of the increased rainfall or the amount of snow. The flooding problems are due to the increases in impermeable land. The impermeable surfaces do not allow water to flow through it. That makes it flood because there is no way for the water to flow through so the water doesnêt just go away. The meteorologistês claim is inaccurate because having more impermeable surfaces makes it hard for the water to go anywhere so it floods. The meteorologist says that the Charleston flooding is because of the increase in rainfall and snow in the past years, but the flooding is because of the impermeable surfaces added to the area. The meteorologist is not correct because the average precipitation in the past years start very high in the 1960ês and they drop between the 1980ês and 2000ês. The Charleston flooding problems are not due to the increase in rain and snow. The flooding is because of the amount of impermeable surfaces added to the area. The meteorologist is incorrect because the average amount of precipitation in the past years start high in the 1960ês but they drop down to a lower amount in the 1980ês and the 2000ês. This evidence shows that the meteorologist was incorrect because the amount of rainfall and snow drops over so many years.  ",,,,
C 281,The developed-impermeable and developed-permeable areas are created and made by humans and it causes the natural areas to get more of the flooding. The natural areas have more of a range of surfaces in the environment. In the man-made areas there are way lower amount of different kinds of surfaces the meteorologist said that the flooding is because of the increase in precipitation while that would be something that helps cause more floods thatês not the only reason Charleston is flooding so much. I think since there isnêt as big of a range of surfaces the water would end up on from the precipitation could just flow onto the natural areas. And since there is less natural areas now they could get flooded way easier. If you have a 36 percentage of area the water cannot go through it would flood into the natural area and Developed-permeable area. Thereês 45% of natural area so it would take less water to flood the area.,2,1,3,3
C 282,"In 1993 when the construction began on the growing town of Charleston, no one was thinking about major precipitation.  If you look at the precipitation patterns chart for Charleston, you can see that at the beginning of the 1990ês, the annual amount of rain dropped dramatically. So, when the town was being constructed, there was never enough rain for the builders to see that their new town would not be able to properly drain the excess water. In the 1960ês and beginning of the 1970ês Charleston had heavy rainfall but there was never a flood problem in the town. This was because the city didnêt have as much developed-permeable or developed-impermeable land. In 1975, 75% of the townês land was natural, in 2013 that number has dropped by 30%. What has grown in recent years is the amount of developed land. This makes me think that the flooding isnêt due to an increase in precipitation, but rather an increase in population and a flaw in the construction plan. –The cause of Charlestonês flooding problem is the increased population. The annual precipitation data show that rain and snowfall in the area have increased steadily since about 2005. Flooding did not become a problem for the city until 2005. Therefore, increased precipitation has led to local flooding.”  When the meteorologist looked at the data collected, he made his claim made on the assumption that nothing had changed in the town besides the rainfall amounts. It probably didnêt occur to him to think about how much the city grew and changed in that time. It even says in his claim that he only looked at the precipitation amounts and the not the city growth. ",,,,
D 283,They had wanted to do a lot of experiments on the land. They got some test samples for the meteorologist. The rain to much in the little town causing floods.    ,,,,
D 284,"The meteorologistês claim is inaccurate because the roads, buildings, and sidewalks are causing the flood because roads, buildings, and sidewalks will not let water go through. The impermiable percentage in 1973 was 13 percent in 1983 the percent was 15 it was 18 percent in 1993 in 2003 the percentage was 21 in 2013 the percent was 36. The meteorologistês claim was inaccurate because it was not the increase of precipitation it was because the buildings, roads, and sidewalks",,,,
D 285,"The meteorologistês argument is false because in 1963 the precipitation was nearly the same as 2013.  In 1973 75% of land area in Charleston was natural areas, and then slowly decreased year by year.  Therefore, since natural areas decreased since 1973, and there is no data to show the percentage of natural area in 1963, I believe that the lack of natural areas led to the city flooding.  Also I believe that the amount of permeable areas had a part in the rash of flooding in Charleston. In 1973 there were 12% developed-permeable areas and 13% developed-impermeable areas.  Since then both areas have grown, especially impermeable areas.  By 2013 there were only 45% of natural areas, 19% of permeable areas, and 36% of impermeable areas. The cause of the Charleston flooding is a combination of a lack of natural areas, and the amount of impermeable areas.  The streets will become a channel with impermeable areas on either side.  When the water hits a permeable area it will flood that area and other areas surrounding it.  If Charleston wants to be rid of these floods they need to create more natural areas and to build more impermeable areas.      ",,,,
D 286,"The meteorologistês argument is inaccurate because any town can have increased precipitation and not have flooding accure. The increase of precipitation is not the cause of the flooding. The cause of the flooding is caused by the increase of impermeable surfaces. The development of impermeable surfaces in Charleston is whatês causing flooding because the precipitation has nowhere to go after it has melted which therefore causes flooding. The areas that do not have well developed impermeable surfaces have a place for all the precipitation to go therefore not causing flooding.  I believe that the claim that was provided is correct because Charlestonês flooding problems are not only due to the amount of increased precipitation, but also to the impermeable surfaces made by man. The increased amount of precipitation has nowhere to go after it has rained which is causing all of the rain to stay above ground level. The impermeable surfaces are not able to soak up precipitation like developed-permeable surfaces and natural areas are.",,,,
D 287,"It does flood but if it rains heavily and it hadnêt flooded until 2005.  They measure how much rain or snow they get, and the floods have increased in frequency ever since 2005.  They have collected data about cityês over the past 50 years.  ",3,4,4,4
D 288,The local meteorologist claims are in accurate because the rise in rainfall each year shouldnêt cause flooding. The increase in Developed-impermeable areas would increase the flooding when it rains hard. The water should be socked up by Natural Areas and Developed-Permeable Surfaces.  If there wasnêt as many Developed-Impermeable Surfaces then there wouldnêt be a flooding problem because there would be more places for the water to go and be absorbed into the ground. Around 1968 the rain fall was just as high and there wasnêt a problem with flooding because there was a lot more of Natural Areas. To solve the problem of flooding they could make more Developed-Permeable Surfaces such a parks and baseball fields for kids to play at. This would make the parents happier and help solve the flooding problem.                                                                                                                            ,4,4,4,4
D 289,Well the meteorologist was on the right track.   He didnêt include that there is a rise of Impermeable surfaces so water can build up to cause flooding.  That is why flooding is so recent in Charleston.  ,2,2,0,0
D 290,Charlestonês flooding are due to the increase in developed land areas that are impermeable surfaces because yes there is more rain but it wouldnêt be that much of a problem if there were more permeable surfaces for the rain to go through. If there were more permeable surfaces the water wouldnêt just sit there on top of them it would go through it therefore that would stop the flooding. But there is an increase in precipitation but the impermeable surfaces in Charleston has doubled in the past 20 years.,,,,
D 291,(no content),,,,
D 292,"The cause of Charlestonês flooding problem is not the increased precipitation. The meteorologist claim is inaccurate because doing research, I was able to find there is an increased flooding rate because it stated that the town of Charleston –has grown allot over the last ten years.” There for, the ground surface will automatically change. So with that statement, my claim is accurate.",,,,
D 293,"The meteorologistês argument is wrong because he thinks that their flooding problem is because of the increase in precipitation, and the research differs from that. The research shows that the amount of rain fall has increased and decreased over the years but overall has stayed fairly the same. Charlestonês flooding problems is due to the increase in developed land areas with impermeable surfaces. Over the years the amount of impermeable surfaces and permeable surfaces has increase and the amount of natural land has decreased. Unfortunately that leaves less land for the precipitation to seep in to leaving more precipitation above ground increasing the flooding in Charleston.",,,,
D 294,"The 1st graph showed the precipitation of Charleston a. graph 1, the Precipitation has gone up about 9 inches and then down 28. From then on it only goes up about 2 until 2003 to 2013 the precipitation goes up21 inches. In graph to it shows changes in land area in Charleston from (1963-2013). In 1973 the natural area has gone down by 30% in 40 years. Permeable Surfaces has gone up by 7%. In Impermeable Surfaces the percentage has gone up by23%.",,,,
D 295,"The meteorologist is kind of correct as to why the town is seeing so much more flooding in the last ten years, but it is not due to the increase in precipitation. That alone can only prove while the problem is more noticeable. Itês much easier to spot a foot of running water than an inch of it, in the same since at a 15ft distance you can see a braided rope easier than a thin string. The root of Charlestonês problems are more likely coming from the amount of concrete and tamped dirt that has been added. When water and not pass through a given surface it has to run off the top. A reasonable solution to dealing with such great amounts of water would be to increase sewage system sizes in lower areas of the city and have them feed in to a large hole outside the city thus creating a pond, and with expansion as needed a lake can eventually be formed. This solution would actually increase human attraction to the city and the amount of wildlife over time too.",,,,
D 296,"The meteorologist claims that the cause of the flooding is the increase in precipitation. This cannot be correct though. Between the years of 1963 and 1973, the amount of precipitation was almost as high as it is in 2013. Thereês only a difference of one to three inches, which isnêt very much. Flooding had never been a problem until 2005. This shows that the increase in precipitation must not be the cause of the flooding.  In 1973 the percentage of Natural areas in Charleston was seventy-five percent. Developed-permeable land was at twelve percent and Developed impermeable land was at thirteen percent. As of 2013 these percentages have changed massively. Natural areas are down to forty-five percent. Natural areas are what soak up the water as it falls. With less natural areas the water is forced to stay on the surface and spread. Developed-permeable surfaces are at nineteen percent. These are the surfaces that allow water to get through, letting them flood. If water can get through any surface than there will be the possibility to flood.     ",3,2,4,0
D 297,"Yes, the meteorologist is correct about the precipitation increasing steadily since 2005 but he incorrect on why it has been flooding. Charleston has not been flooding due to increase in precipitation, but instead due to the increases in developed land areas with impermeable surfaces. The water cycle includes the precipitation sinking into the ground. Well, with increase in developed impermeable surfaces, which hold water, there is less space for the precipitation to sink into the ground so, therefore it will just gather in places, causing the flooding.  Graph 2 shows proof that the percentage of impermeable surfaces increased a lot just between 2003 and 2013. The percentage of impermeable surfaces increased 15% just in these 10 years. This makes nearly just as many impermeable surfaces as there are natural areas. If all of these impermeable surfaces are holding water, then there will be a lot of water not going anywhere.",,,,
D 298,"Charleston has been presented with a problem, flood frequencies have increased drastically over the last several years. Local meteorologists are blaming the flooding on the increase in precipitation in the area, but we believe there is more to it. The precipitation measurement has been this high before, and it did not cause floods. In 1973, the amount of precipitation the city received was very close to what it is today, but the flooding was not near as bad. We believe the recent flooding is due to the decrease in natural areas. In 1973, 75% of the cityês land was natural area, and only 13% of the city was developed-impermeable surfaces. Today however, only 45% of the city is natural areas, and 36% of the city is developed-impermeable surfaces. The amount of land in the city that allows water to pass through it has decreased drastically, and the amount of land that doesnêt allow water to pass through it has increased leading to flooding.",3,3,2,4
D 299,"The rain and snow fall have went from really high to really low then shot back up so the results were never steady throughout the years up until the year 2005. It didnêt really matter how much precipitation the town of Charleston got it would always flood.  Before the humans starting building things the floods were not that bad, it seemed the more natural land there was the less flooding. The more humans built things over the years the more Charleston flooded.   ",3,2,0,1
D 300,"The cause of Charlestonês flooding problems is not due to an increase in precipitation since 2005. The flooding is caused by the increase of developed impermeable surfaces.  The Precipitation patterns in the Charleston graph show that it has fluctuated all through the years 1963-2013. The meteorologist says that the increase happened in 2005, when it started increasing in about 2000 it looks like. It really took off in what looks to be 2008 and that would be after the flooding started getting worse.  The reason that the increase of flooding is caused by the impermeable surfaces is, because water cannot go through the sidewalks, the roads, or all of these buildings. When Charlestonês population started increasing, the city started adding all of these surfaces. The amount of permeable sources is impermeable sources is less, making water flow out of the city a lot slower. In 2003 there was 62% natural, 17% permeable, and 21% impermeable land coverage. During 2003 the amount of precipitation was starting to increase. In 2013 it was 45% natural, 19% permeable, and 36% impermeable land coverage, during this year precipitation was at almost 60 inches a year. With the rainfall being so high and the amount of permeable or natural barely being higher than impermeable surfaces, the water is going to take more time to drain out of the city, causing the increase in flooding. With all the information given from the graphs and what has been going on is Charleston with expanding, the flooding would prove to be caused by the amount of developed impermeable surfaces.",4,3,4,4
D 301,"The annual average precipitation did increase in 2005 but not to dramatic. Flooding wasnêt a problem in 2005 because the precipitation levels didnêt rise too much from 1963-1973. –.. the city has built three new schools and many homes to meet the needs of its growing population. It has also expanded existing roads and built more sidewalks and parking lots.” Since more developed- impermeable surfaces have been built, the city of Charleston has more floods then before. Yes Charlestonês flooding problems are due to the increases in developed land areas with impermeable surfaces.",3,2,0,1
D 302,I think that they are wrong because the land they use is like a little crater or ditch and it is easier to store water in a hole than on a flat surface. The amount of precipitation doesnêt affect much but how low the land is affects flooding more.,,,,
D 303,The surfaces that have been made are impermeable so they would not be able to hold enough water to prevent flooding. The water would then overflow and then go anywhere that the water is led to. The meteorologist was wrong about the claim because the percentage of different surfaces does not effect of how much rain comes down or how much it can hold. I agree with the claim of to much precipitation because if too much rain comes down then the rain can start to build up in different place and then overflow. Not of how much or good a surface is.,,,,
D 304,Charlestonês flooding problems I believe to be the cause of developed natural areas and permeable land. While the meteorologist say it due to increased rain fall throughout the years. Research has shown that natural areas are decreasing along with the increasing development of land in the area and the average rainfall has increased but only about as high as it was in 1978 so if this was the cause of the increased flood waters the flood waters of 1978 would be recorded as just as high as in 2013 the only factor that differs the two is that the natural areas have been almost used up and have instead been built onto and decreasing the land that is available to use or absorb the water so it doesnêt end up in the city streets charts show that 55% of the land has been developed and only 45% of the land remains 30% has also been developed within the last 40 years and I believe this to be the cause to Charlestonês increased flooding.,4,4,4,4
D 305,The precipitation graph in 1963 was 51 and in 2013 it was 60 every year it adds up. In 1983 it went down to 40. Graph2: In 1973 the percentage was 75 in 1983 it went down 2 in 1993 it went down 4 and it could get lower and lower every year. The most area changes was 1973 the developed permeable surfaces was bad because the lower surfaces u got the worst its going to be. 2003 the lowest they got was 17 and the highest was 62. In 2013 the lowest was 19 and it went up to 36 and it keeps raising up every year it went up to 45 the highest land area was 75% of the land area coverage in Charleston in 2015 it will raise higher and higher developed permeable surfaces was 36 and it was the highest out of all of them. ,3,1,0,0
D 306,(no content),,,,
D 307,"The meteorologistês claim to the students is true in my opinion. The natural areas that the land had back in 1973, compared to the land in 2013 is much lower. The natural areas kind of soaked up most of the water which makes it so thereês not as much left over water just sitting on the ground. Another thing is the Permeable and the Impermeable surfaces have changed a lot more. For one thing the impermeable surfaces have gone up a lot more, which means thereês not enough room for all the water to flow. Now the permeable surfaces have gone up too but not as much as the impermeable surfaces, which is still not leaving enough room for all of the water to go. So natural areas have gone down. Permeable surfaces have gone up but not by much. Impermeable surfaces have gone up the most. I think the flooding is caused by not enough natural land and not enough permeable surfaces, which all the water has to go somewhere and with nowhere for it to go it just floods everything. ",2,4,0,0
D 308,"Charleston has a flooding problem that only started to be a big problem in 2005. A local meteorologist has made the argument to the class that it is because of the increased annual precipitation that Charleston has been having flooding problems.  The annual precipitation from 2003 to 2005 has increased by nine to ten inches but it is no where near the 56 to 59 inches of annual rainfall in the 1970s. The high rate of flooding in 2005 is more likely caused by the increase in Impermeable and permeable areas and the decrease in natural areas. From 1993 to 2013 there is a spike in the amount of permeable and impermeable and a decline in the amount of untouched natural areas. From 1993 to 2013 there is a jump from 15% permeable surfaces to 19%, there is also a jump from 18% impermeable to 36% following this increase in none-natural areas the natural areas are declining from a 67% in 1993 to a 45% in 2013. With all the information presented it is more probable that the main cause of the flooding is the increase in permeable and impermeable areas that are causing the flooding",,,,
D 309,"Charletonês flooding problem is because of an increase in developed land areas with impermeable surfaces. As the land rises along and around the city, whenever it rains the water gets rushed down flooding the city. Precipitation has nothing to do with this as they said in the passage. Precipitation is the result after the city floods and after it rains so it couldnêt be the cause of the cityês flooding problems. The town is probably just at the bottom of a hill and all the rain water rushes into the town when it falls to the ground. ",,,,
D 310,The reason is the precipitation is going up is because the humans have been making Developed- Permeable Surfaces and Developed-Impermiable Surfaces is going up and that is why the precipitation is going up since the we keep making things man made then it changes things and makes more precipitation. The meteorologist`s argument is inaccurate because the precipitation is not only the reason why there is flooding it is also because of the new things that humans keep making and making the precipitation go up.,,,,
D 311,The cause of Charlestonês flooding problem is not the increase of precipitation. The flooding problem is has increased since 2005 because the Natural Areas have decreased and the Developed-Impermeable Surfaces has increased.  With the Natural Areas decreasing there is less places for the water to go in the forest so the water has to go somewhere so it goes in the city of Charleston making it flood.  With the Impermeable Surfaces increasing from 21% to 36% and the Natural Areas decreasing from 62% to 45% the area that the water can go decreases.   With more sidewalks and buildings being built it takes more space from the Natural Areas where the water normally goes.  ,2,2,0,2
D 312,"The precipitation graph shows that floods are not caused by rain amounts, because in 1973 it was higher than 2005. The amount during 2005 was around 35 in. Then during 1973 it was around 55 in. that show that the precipitation had nothing to with the flood. The land area graph show that the natural areas goês down by a lot from 1973 to 2013. The permeable surfaces go up very little and so do the impermeable surfaces. There for the cause of the flood in my calculation is caused by changes in the land area coverage. The meteorologistês claim is in accurate because the jump down from 1973 and 2005 in precipitation changes. So there claim is wrong telling us that it is caused by land change. The land change is a big one because it goes down causing the water to flow in to the streets and causing damage to buildings. ",,,,
D 313,The meteorologist is wrong because the rain and snowfall has increased in the last few years. But has not produced more snow it has been a rainier climate time. The rainfall has increased up to at least 20% in the last few years. The rain and snow has also covered more area in the last few years.  I believe by looking at the chart that the precipitating has defiantly increased from 1963 to 2013. And the land that used to not get as much rain and snow get a lot more in those areas. ,,,,
D 314,"The reason why Charleston is have flooding problems it that your developed-Impermiable Surfaces is down to low so all of your doors on your buildings will fill up from not being tall enough to go hold water against so your buildings doesnêt wash away. another  reason why your flood charts are up is because of your sidewalks where everyone walks up and down at of a day and the most reasonable way for you to keep floods out it too make your sidewalks taller and away from houses and other marked buildings so your stores donêt throw all of their groceries away. So from my experience with water ways I have for out that if the same spot continues to flood every year, I would either make things taller and more closed in to keep water from coming in. or even sand bag around your city of Charlestonês so water on streets and roads wonêt continue to flow straight on threw main streets or sidewalks. Or to put flood doors on your house so that water cannot go in from the doors to flood your home. But the one biggest reasons I see wrong about the graphs is that the annual percent of rain is going up. but the years are going down.",2,1,0,1
D 315,I do think that the meteorologist is right about it raining more but I also think he is wrong with the way that he trying to explain his theory about the reasoning on flooding in Charleston.  The precipitation patterns in Charleston start to drop around 1973-1983 but it starts to go back up around 2003-2013 very fast. So I see why he might make the assessment of think that it is the rain that is making it flood a lot more but there are other things that you have to understand. You have to also look at the surroundings as well and see where and why it flooding more in one area then another. There are very little flooding in areas that human deal with but in natural area that people do not deal with most it has more flooding because of nature itês just the natural process. The areas that humans deal with we can make adjustment to make it were we have as little flooding as possible like making ditches or making it go a different direction.  ,2,1,2,0
D 316,"The town of Charleston is having flooding problems due to the increases in developed land areas with impermeable surfaces. It is taking the water longer to leave the town, because the water is flowing in and it is slowing down the water from leaving. The local meteorologist is wrong, because they have had a lot rain the and the town hasnêt flooded, if you look at graphs. Since they have built more house and streets, the town has  been getting more and more flooding with not a lot of increase in precipitation. So I have a reason to believe that the flooding is do , to the development of new homes and streets, and not because of more precipitation.",3,2,4,1
D 317,"The meteorologist is incorrect because even if the precipitation increases the water should have somewhere to go like a ditch, but there are more buildings, roads, and sidewalks which stops the water. The water gets held in the city so it floods, and the more water that gets trapped there is going to be a bigger flood. If the city were to get rid of some of the sidewalks or roads there wouldnêt be as many floods. With the developed-permeable areas water is allowed to pass through but it has nowhere to go so if the city were to add some drains the water would drain and the flood would be stopped. ",,,,
D 318,"Charlestonês flooding problems are caused by the increases in the developed land areas that people have created with things that donêt allow water to flow through such as roads, sidewalks, and some buildings. The impermeable surfaces donêt allow water to go through, so since the water canêt go through the impermeable surfaces, it just floods. The things that have permeable surfaces such as grass on soccer fields, can have water go through it. So, it would not be flooded there.  The developed land areas that have the impermeable surfaces are the reason it is flooded.  The sun takes up the water and when it gets enough water, rainclouds form and it starts raining. The permeable surface soak up the rain and the impermeable surface do not soak it up at all. That is the cause of flooding.  ",,,,
D 319,"The cause of Charlestonês flooding problem is the increased precipitation and the increased amount of impermeable surfaces. The annual precipitation data and changes in land area coverage data show an increased amount of precipitation and construction of impermeable surfaces. Both the increased amount of precipitation and impermeable surfaces has led to the flooding issues. With the increasing amount of precipitation and impermeable surfaces growing each year the flooding problem will continue to get worse. All this water has to have a place to go such as streams and fields, but with all the impermeable surface around the water will have to place to go and will flood.",3,2,0,2
D 320,Most water systems may help stop flooding in the developed areas.  Damns are a big help and use to electricity. They could build street pipe lines were the water would drain down under the street and go to a cityês water treatment.  The flooding was caused by the developed areas because of precipitation but the city could make a decision to what I stated in the seconded sentence.  ,,,,
D 321,The local meteorologist's claim is inaccurate because even though the city has developed more impermeable surfaces there are still plenty of permeable surfaces.  So when they city receives rain or a large amount of precipitation the water should still run off in to the ground that can soak up to water and not cause so much flooding.  Also the permeable surfaces still flood when they receives a large amount of precipitation.   In the year 1973 the permeable surfaces and the impermeable surfaces had about the same amount of flooding.,2,3,2,0
